제품,용량(L),소비전력(W)
제품 1,1.0,1000
제품 2,1.0,1000
제품 3,0.6,1200
제품 4,1.5,1430
제품 5,1.5,1500
제품 6,1.5,1500
제품 7,1.5,1500
제품 8,1.5,1500
제품 9,1.0,1500
제품 10,1.7,1800
제품 11,1.7,1800
제품 12,1.7,1800
제품 13,1.7,1800
제품 14,1.7,1850
제품 15,1.7,1850
제품 16,1.0,1850
제품 17,1.0,1850
제품 18,1.5,2000
제품 19,1.7,2200
제품 20,1.5,2200
제품 21,1.7,2400
제품 22,1.7,2400
제품 23,0.8,500
제품 24,0.8,600
제품 25,0.8,800
제품 26,1.5,1000
제품 27,0.8,1000
제품 28,0.8,1000
제품 29,1.2,1200
제품 30,1.0,1200
제품 31,1.2,1200
제품 32,1.0,1200
제품 33,1.2,1200
제품 34,1.2,1200
제품 35,0.8,1200
제품 36,0.7,1200
제품 37,1.5,1500
제품 38,1.8,1500
제품 39,1.5,1500
제품 40,1.5,1500
제품 41,1.0,1500
제품 42,1.5,1500
제품 43,2.0,1500
제품 44,1.7,1800
제품 45,1.8,1800
제품 46,1.5,1800
제품 47,1.7,1800
제품 48,1.7,2000
제품 49,1.7,2200
제품 50,1.5,3000
